Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F15,10,2,434.9885046296886
rn10_eta0.2,10.0,0.2,F15,10,3,1.4013298377424237
rn10_eta0.2,10.0,0.2,F15,10,4,1.2877864336965104
rn10_eta0.2,10.0,0.2,F15,10,5,233.0566260501785
rn10_eta0.2,10.0,0.2,F15,10,6,435.7403530199472
rn10_eta0.2,10.0,0.2,F15,10,7,1.7060547409728315
rn10_eta0.2,10.0,0.2,F15,10,8,232.79338063182357
rn10_eta0.2,10.0,0.2,F15,10,9,0.5148807612722521
rn10_eta0.2,10.0,0.2,F15,30,0,3.374164211861853
rn10_eta0.2,10.0,0.2,F15,30,1,3.514343133515468
rn10_eta0.2,10.0,0.2,F15,30,2,2.883995225206036
rn10_eta0.2,10.0,0.2,F15,30,3,3.242848385197476
rn10_eta0.2,10.0,0.2,F15,30,4,3.562666931742797
rn10_eta0.2,10.0,0.2,F15,30,5,631.3017850702727
rn10_eta0.2,10.0,0.2,F15,30,6,2.5508638281380627
rn10_eta0.2,10.0,0.2,F15,30,7,3.029265697776964
rn10_eta0.2,10.0,0.2,F15,30,8,3.3031353942137684
rn10_eta0.2,10.0,0.2,F15,30,9,3.2588940503703725
rn12_eta0.1,12.0,0.1,F1,10,0,0.0
rn12_eta0.1,12.0,0.1,F1,10,1,0.0
rn12_eta0.1,12.0,0.1,F1,10,2,0.0
rn12_eta0.1,12.0,0.1,F1,10,3,0.0
rn12_eta0.1,12.0,0.1,F1,10,4,0.0
rn12_eta0.1,12.0,0.1,F1,10,5,0.0
rn12_eta0.1,12.0,0.1,F1,10,6,0.0
rn12_eta0.1,12.0,0.1,F1,10,7,0.0
rn12_eta0.1,12.0,0.1,F1,10,8,0.0
rn12_eta0.1,12.0,0.1,F1,10,9,0.0
rn12_eta0.1,12.0,0.1,F1,30,0,0.0
rn12_eta0.1,12.0,0.1,F1,30,1,0.0
rn12_eta0.1,12.0,0.1,F1,30,2,0.0
rn12_eta0.1,12.0,0.1,F1,30,3,0.0
rn12_eta0.1,12.0,0.1,F1,30,4,0.0
rn12_eta0.1,12.0,0.1,F1,30,5,0.0
rn12_eta0.1,12.0,0.1,F1,30,6,0.0
rn12_eta0.1,12.0,0.1,F1,30,7,0.0
rn12_eta0.1,12.0,0.1,F1,30,8,0.0
rn12_eta0.1,12.0,0.1,F1,30,9,0.0
rn12_eta0.1,12.0,0.1,F3,10,0,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,1,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,2,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,3,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,4,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,5,0.0
rn12_eta0.1,12.0,0.1,F3,10,6,3.986579112347158
