Alg,Function,Dim,Run,Best
B: A + L-SHADE xotira,Ackley,30,2,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,3,1.4654943925052066e-14
B: A + L-SHADE xotira,Ackley,30,4,1.1102230246251565e-14
B: A + L-SHADE xotira,Ackley,30,5,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,6,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,7,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,8,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,9,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,10,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,11,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,12,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,13,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,14,1.1102230246251565e-14
B: A + L-SHADE xotira,BentCigar,30,0,6.310887241768094e-23
B: A + L-SHADE xotira,BentCigar,30,1,1.2621774483536189e-23
B: A + L-SHADE xotira,BentCigar,30,2,2.0194839173657902e-22
B: A + L-SHADE xotira,BentCigar,30,3,5.0487097934144756e-23
B: A + L-SHADE xotira,BentCigar,30,4,3.660314600225495e-22
B: A + L-SHADE xotira,BentCigar,30,5,1.2621774483536189e-23
B: A + L-SHADE xotira,BentCigar,30,6,6.310887241768094e-23
B: A + L-SHADE xotira,BentCigar,30,7,1.0097419586828951e-22
B: A + L-SHADE xotira,BentCigar,30,8,2.524354896707238e-22
B: A + L-SHADE xotira,BentCigar,30,9,5.0487097934144756e-23
B: A + L-SHADE xotira,BentCigar,30,10,2.7767903863779616e-22
B: A + L-SHADE xotira,BentCigar,30,11,2.524354896707238e-22
B: A + L-SHADE xotira,BentCigar,30,12,0.0
B: A + L-SHADE xotira,BentCigar,30,13,1.0097419586828951e-22
B: A + L-SHADE xotira,BentCigar,30,14,1.0097419586828951e-22
B: A + L-SHADE xotira,Composition,30,0,1.998401444325288e-15
B: A + L-SHADE xotira,Composition,30,1,3.774758283725583e-15
B: A + L-SHADE xotira,Composition,30,2,1.9984014443252834e-15
B: A + L-SHADE xotira,Composition,30,3,1.998401444325307e-15
B: A + L-SHADE xotira,Composition,30,4,3.774758283725595e-15
B: A + L-SHADE xotira,Composition,30,5,1.998401444325288e-15
B: A + L-SHADE xotira,Composition,30,6,3.774758283725583e-15
B: A + L-SHADE xotira,Composition,30,7,2.220446049250313e-16
B: A + L-SHADE xotira,Composition,30,8,2.220446049250313e-16
B: A + L-SHADE xotira,Composition,30,9,2.220446049250313e-16
B: A + L-SHADE xotira,Composition,30,10,3.774758283725564e-15
B: A + L-SHADE xotira,Composition,30,11,7.327471962526281e-15
B: A + L-SHADE xotira,Composition,30,12,3.774758283725614e-15
B: A + L-SHADE xotira,Composition,30,13,3.774758283725564e-15
