Config,Function,Dim,Run,Best
N_min=20,NoisyRastrigin,50,4,49.777594356927295
N_min=20,NoisyRastrigin,50,5,73.673355356116
N_min=20,NoisyRastrigin,50,6,65.69128783993773
N_min=20,NoisyRastrigin,50,7,48.78406889292635
N_min=20,NoisyRastrigin,50,8,74.65246239634041
N_min=20,NoisyRastrigin,50,9,52.76093172112269
N_min=20,NoisyRastrigin,50,10,54.7678332457295
N_min=20,NoisyRastrigin,100,0,165.2421572821858
N_min=20,NoisyRastrigin,100,1,157.2795524404077
N_min=20,NoisyRastrigin,100,2,148.3121793305589
N_min=20,NoisyRastrigin,100,3,109.52878141575047
N_min=20,NoisyRastrigin,100,4,181.14848889298173
N_min=20,NoisyRastrigin,100,5,126.41141560370438
N_min=20,NoisyRastrigin,100,6,183.1296284670626
N_min=20,NoisyRastrigin,100,7,163.23997021617805
N_min=20,NoisyRastrigin,100,8,136.37968452090684
N_min=20,NoisyRastrigin,100,9,104.55663450676252
N_min=20,NoisyRastrigin,100,10,149.33234796972587
18*D + N_min=20 - CRfloor,Schwefel,30,0,1973.9780705958347
18*D + N_min=20 - CRfloor,Schwefel,30,1,1638.4000665908225
18*D + N_min=20 - CRfloor,Schwefel,30,2,1539.698731814684
18*D + N_min=20 - CRfloor,Schwefel,30,3,1756.8384012052575
18*D + N_min=20 - CRfloor,Schwefel,30,4,1638.4000665908225
18*D + N_min=20 - CRfloor,Schwefel,30,5,1539.698731814684
18*D + N_min=20 - CRfloor,Schwefel,30,6,1816.0684457349034
18*D + N_min=20 - CRfloor,Schwefel,30,7,1875.2984902645676
18*D + N_min=20 - CRfloor,Schwefel,30,8,2467.4874539066204
18*D + N_min=20 - CRfloor,Schwefel,30,9,1598.928776344328
18*D + N_min=20 - CRfloor,Schwefel,30,10,1717.367110958774
18*D + N_min=20 - CRfloor,Schwefel,50,0,4323.263863879583
