Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F6,10,5,11.856842998069284
rn10_eta0.2,10.0,0.2,F6,10,6,12.962786998616709
rn10_eta0.2,10.0,0.2,F6,10,7,11.52925720205974
rn10_eta0.2,10.0,0.2,F6,10,8,11.692982382407536
rn10_eta0.2,10.0,0.2,F6,10,9,12.635065982678952
rn10_eta0.2,10.0,0.2,F6,30,0,36.75416155098708
rn10_eta0.2,10.0,0.2,F6,30,1,36.58846050951957
rn10_eta0.2,10.0,0.2,F6,30,2,39.81896889615757
rn10_eta0.2,10.0,0.2,F6,30,3,34.89107180081453
rn10_eta0.2,10.0,0.2,F6,30,4,37.47840800923655
rn10_eta0.2,10.0,0.2,F6,30,5,39.901328487228966
rn10_eta0.2,10.0,0.2,F6,30,6,39.81897361903691
rn10_eta0.2,10.0,0.2,F6,30,7,35.780794673388414
rn10_eta0.2,10.0,0.2,F6,30,8,38.327221753808544
rn10_eta0.2,10.0,0.2,F6,30,9,45.00190345372937
rn10_eta0.2,10.0,0.2,F7,10,0,8.000026550058351
rn10_eta0.2,10.0,0.2,F7,10,1,4.0
rn10_eta0.2,10.0,0.2,F7,10,2,6.000001761194312
rn10_eta0.2,10.0,0.2,F7,10,3,10.0
rn10_eta0.2,10.0,0.2,F7,10,4,8.000080505947267
rn10_eta0.2,10.0,0.2,F7,10,5,6.000036182178178
rn10_eta0.2,10.0,0.2,F7,10,6,6.000681675268424
rn10_eta0.2,10.0,0.2,F7,10,7,10.0
rn10_eta0.2,10.0,0.2,F7,10,8,6.000049210522093
rn10_eta0.2,10.0,0.2,F7,10,9,4.0
rn10_eta0.2,10.0,0.2,F7,30,0,32.00000000000193
rn10_eta0.2,10.0,0.2,F7,30,1,36.00017513318289
rn10_eta0.2,10.0,0.2,F7,30,2,22.0026437735678
rn10_eta0.2,10.0,0.2,F7,30,3,32.00539381449494
rn10_eta0.2,10.0,0.2,F7,30,4,24.004638402430487
rn10_eta0.2,10.0,0.2,F7,30,5,46.00027873728209
rn10_eta0.2,10.0,0.2,F7,30,6,34.00033147908471
rn10_eta0.2,10.0,0.2,F7,30,7,22.000092057693337
rn10_eta0.2,10.0,0.2,F7,30,8,22.010089267732155
rn10_eta0.2,10.0,0.2,F7,30,9,32.00035313702665
rn10_eta0.2,10.0,0.2,F9,10,0,0.3760553378333497
rn10_eta0.2,10.0,0.2,F9,10,1,7.0157933354039415
rn10_eta0.2,10.0,0.2,F9,10,2,15.417643358788157
rn10_eta0.2,10.0,0.2,F9,10,3,6.9104849853683845
rn10_eta0.2,10.0,0.2,F9,10,4,15.244485866957804
rn10_eta0.2,10.0,0.2,F9,10,5,3.735724377567749
rn10_eta0.2,10.0,0.2,F9,10,6,7.0196527576936205
rn10_eta0.2,10.0,0.2,F9,10,7,6.893171098252424
rn10_eta0.2,10.0,0.2,F9,10,8,0.3310309079470244
rn10_eta0.2,10.0,0.2,F9,10,9,3.602562598435725
rn10_eta0.2,10.0,0.2,F9,30,0,1055.6272506000478
rn10_eta0.2,10.0,0.2,F9,30,1,1240.1135210058146
rn10_eta0.2,10.0,0.2,F9,30,2,1071.90415564244
rn10_eta0.2,10.0,0.2,F9,30,3,580.5770437657902
rn10_eta0.2,10.0,0.2,F9,30,4,795.7996130641859
rn10_eta0.2,10.0,0.2,F9,30,5,813.3173837663489
rn10_eta0.2,10.0,0.2,F9,30,6,1257.8269104404972
rn10_eta0.2,10.0,0.2,F9,30,7,701.2698269141492
rn10_eta0.2,10.0,0.2,F9,30,8,960.794257057787
rn10_eta0.2,10.0,0.2,F9,30,9,632.3300200926697
rn10_eta0.2,10.0,0.2,F10,10,0,0.0
rn10_eta0.2,10.0,0.2,F10,10,1,0.9949590570932968
rn10_eta0.2,10.0,0.2,F10,10,2,0.0
rn10_eta0.2,10.0,0.2,F10,10,3,0.0
rn10_eta0.2,10.0,0.2,F10,10,4,0.0
rn10_eta0.2,10.0,0.2,F10,10,5,0.0
rn10_eta0.2,10.0,0.2,F10,10,6,3.701428610430071
rn10_eta0.2,10.0,0.2,F10,10,7,0.0
rn10_eta0.2,10.0,0.2,F10,10,8,0.0
rn10_eta0.2,10.0,0.2,F10,10,9,0.0
rn10_eta0.2,10.0,0.2,F10,30,0,12.947619021933631
rn10_eta0.2,10.0,0.2,F10,30,1,2.91939367518296
rn10_eta0.2,10.0,0.2,F10,30,2,8.94972843876451
