Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
Griewank,30,PSO,0.007396040334115672,46.19658031517809,12.955278943124481,13.376773026781928,7.497129781750507,9.958318012554123
Griewank,30,PSO_orig,27.118342230499945,283.55839567801644,123.30685288259082,69.48783824746226,115.85931049185443,70.49156506204882
Griewank,30,GWO,108.10255174141118,183.77208857280172,142.1230754718079,27.402549646142777,136.46002103893022,51.430097857165165
Griewank,30,HHO_orig,132.45390125897435,267.8491245860474,193.44309420882576,46.72156542165973,181.50091618451307,57.76010657366868
Griewank,30,WOA,116.5014877306728,234.07811974573437,183.56619335733308,38.732042398123156,197.75490591882186,61.52859042233035
Levy,30,TEMOA_V11,3.342411432449169e-24,1.6605854903160124e-21,3.4021280837171044e-22,4.673951877262434e-22,1.9708010990048e-22,4.378582301732436e-22
Levy,30,jSO,4.958705629332276e-22,1.7230852685052684e-20,5.626732980700952e-21,5.74450049008179e-21,3.911384284413644e-21,7.277567117691749e-21
Levy,30,LSHADE,5.1241173722777337e-23,4.392666768442838e-20,1.0657330498589625e-20,1.4791753279092063e-20,3.971827415665e-21,1.340196449711073e-20
Levy,30,TEMOA_V10,5.227994723227567e-29,0.5438522690072147,0.11302410743864603,0.18609710283408748,0.04476412520822046,0.08952825041644097
Levy,30,DE,1.3549753216561355e-18,0.9981762875985596,0.33962921952521063,0.41162861804975454,0.08952825041731648,0.6350512110508174
Levy,30,SCA,1.77824728379237,4.485826777580868,2.8316888195556094,0.7429341373621156,2.787330728422126,0.718995180189669
Levy,30,PSO,14.654098792018914,65.64604416141268,34.13918773955021,15.688498346147465,31.548479512102595,19.682961676464288
Levy,30,PSO_orig,20.54933469679763,90.14662698316315,52.9493257025885,19.54790343068699,55.667093949331374,24.888080077502572
Levy,30,HHO,41.155754270380854,73.28317667546965,59.512563772482004,8.835168819449489,59.41542839127685,11.641875766954193
Levy,30,GWO,66.66853839618402,90.85104639794847,80.60422939989655,7.409836051345942,82.53546282643023,11.624855117147348
Levy,30,HHO_orig,67.31205072213511,126.80773476487967,92.4922668616744,18.10245983489002,90.33028331043793,29.194016015105348
Levy,30,WOA,64.43984484759085,154.795705962372,107.23632047002194,29.671495015837053,109.12163444373955,45.645865232285615
NoisyRastrigin,30,TEMOA_V11,9.634868755351574,33.38438894848029,20.065706078572916,6.296680338523845,20.31056411261038,7.089932443611051
NoisyRastrigin,30,LSHADE,18.569935133715777,30.88583806284148,23.15133752525398,4.240271298032846,21.81327567909147,5.164405896032552
NoisyRastrigin,30,jSO,16.89931071628959,31.864655174993537,21.941906498808407,4.539135374868363,21.819615014069264,6.8805186833584315
NoisyRastrigin,30,TEMOA_V10,23.8916340984052,72.64405772666228,34.75407156629388,13.893314865911256,31.35183802312037,7.4627151686683675
NoisyRastrigin,30,PSO,47.77249827708531,152.7143267576166,101.53980987740597,27.861103899614086,104.12463037327497,20.484245059357846
NoisyRastrigin,30,SCA,76.4419342622638,131.73142408453907,109.91943277769293,14.57536017695481,111.41204852497722,5.250485515209618
NoisyRastrigin,30,DE,164.73973195394723,196.43022650371014,182.31827262525925,9.536409191383626,182.76023183908003,9.463411154206597
NoisyRastrigin,30,PSO_orig,153.5884368864447,279.9224674695255,202.14343474577115,40.97487817070467,197.7273265700357,37.2862615134558
